# Node ID	X Coordinate	Y Coordinate	Z Coordinate
      130    -3.403903333E-02     4.205762804E-02    -3.661177787E-02
      131    -1.227179234E-02     4.193750007E-02    -4.847997299E-02
      132     2.909653070E-02     2.973302029E-02    -4.065569803E-02
      133     4.065918160E-02     1.858475707E-02    -2.909255182E-02
      134    -2.072413407E-02     4.024999996E-02    -4.550934465E-02
      135     4.908836230E-02     4.213520948E-02    -9.541374137E-03
      136     3.599290961E-02     8.545909501E-02    -3.469265691E-02
      137     4.895374127E-02     3.396875091E-02    -1.021223365E-02
      138    -1.308413046E-02     8.337499997E-02    -4.826732756E-02
      139    -2.301623998E-04     1.015121548E-02    -4.999948008E-02
      140    -4.920849052E-02     1.332930567E-02    -8.897969051E-03
      141     1.197385608E-02     5.943695095E-02    -4.855429494E-02
      142     9.730608494E-03     9.132925334E-02    -4.905175219E-02
      143    -3.936545725E-02     9.985344304E-03    -3.081722633E-02
      144     4.376841791E-02     4.711378052E-02    -2.417744984E-02
      145     3.878782876E-02     4.570749956E-02    -3.153999751E-02
      146     4.187495497E-02     2.882247584E-02    -2.731799885E-02
      147     1.793311100E-02     9.125000134E-03    -4.668225566E-02
      148    -4.457378540E-02     8.750000000E-03    -2.266268280E-02
      149     4.681233330E-02     6.884375158E-02    -1.759207333E-02
      150    -4.917791593E-02     4.128125094E-02    -9.066253092E-03
      151     8.929536790E-03     9.000000089E-03    -4.920323571E-02
      152     3.935386715E-02     9.217594727E-02    -3.083199989E-02
      153     4.418664408E-02     9.180319656E-02    -2.340653787E-02
      154     4.880010988E-02     2.464062564E-02    -1.092512367E-02
      155    -4.830647919E-02     7.928959372E-02    -1.293813285E-02
      156     3.269054134E-02     3.480854637E-02    -3.782157992E-02
      157     2.786528549E-02     1.072040154E-02    -4.151118795E-02
      158    -4.517672574E-02     9.074126342E-02    -2.143887895E-02
      159    -3.999534410E-02     9.095996091E-02    -2.999676812E-02
      160     8.075082166E-04     9.125000000E-02    -4.999359469E-02
      161    -1.194530307E-02     6.735950397E-02    -4.856131490E-02
      162    -1.019839179E-02     8.750000000E-03    -4.895697864E-02
      163    -8.993143808E-03     9.143749999E-02    -4.919170406E-02
      164    -2.141737610E-02     6.762499991E-02    -4.518639165E-02
      165    -1.817176266E-02     9.162499997E-02    -4.658970685E-02
      166    -2.954633708E-02     8.093749984E-02    -4.032931193E-02
      167     2.941196863E-02     2.156740736E-02    -4.042760890E-02
      168    -2.609562201E-02     9.021874992E-02    -4.264874478E-02
      169     1.519004047E-02     4.315625050E-02    -4.764662836E-02
      170     2.349922043E-02     4.339062559E-02    -4.413662956E-02
      171    -1.551398981E-02     3.344058763E-02    -4.754207446E-02
      172     6.361775599E-03     1.831339717E-02    -4.959818820E-02
      173     3.991043778E-02     7.695160525E-02    -3.010942219E-02
      174    -4.890520766E-02     6.082812512E-02    -1.044300060E-02
      175    -4.092789725E-02     7.490655034E-02    -2.871414425E-02
      176     3.226627354E-02     6.819528030E-02    -3.818455564E-02
      177     1.902758269E-02     9.075261854E-02    -4.624608968E-02
      178     2.938344927E-03     3.314289337E-02    -4.991488579E-02
      179     3.905377662E-02     9.131607908E-03    -3.121060874E-02
      180     4.848644586E-03     8.320999709E-02    -4.976737363E-02
      181     4.916374425E-02     6.685805257E-02    -9.143159418E-03
      182    -3.844322874E-02     4.936718724E-02    -3.195851660E-02
      183     4.911972009E-02     8.565638926E-02    -9.377870738E-03
      184     4.757248971E-02     9.176945858E-03    -1.542076065E-02
      185     7.984372248E-03     6.676803043E-02    -4.936456960E-02
      186     4.592192305E-02     5.343574279E-02    -1.979648381E-02
      187    -4.697484029E-02     6.531380054E-02    -1.715401443E-02
      188    -2.460968888E-02     7.483278750E-02    -4.352548542E-02
      189     3.869243377E-02     6.375000098E-02    -3.165677832E-02
      190    -4.759405640E-02     7.537342738E-03    -1.535409022E-02
      191    -1.547174898E-02     1.534631377E-02    -4.755584688E-02
      192     3.390693619E-02     9.330347719E-02    -3.673420949E-02
      193    -2.691105619E-02     6.374999970E-03    -4.213760962E-02
      194    -4.939939698E-02     8.445312497E-02    -7.761574954E-03
      195     4.894562623E-02     5.135926583E-02    -1.025120031E-02
      196     3.456148091E-02     5.115738555E-02    -3.611882159E-02
      197     7.110191130E-03     4.058168158E-02    -4.949719451E-02
      198     2.406964972E-02     2.570582006E-02    -4.382728281E-02
      199     2.110087017E-02     5.948336458E-02    -4.533544717E-02
      200    -3.052211610E-03     2.597402276E-02    -4.990814216E-02
      201    -2.820687815E-02     3.767813652E-02    -4.127928708E-02
      202    -4.927154855E-02     3.225486750E-02    -8.539978487E-03
      203    -4.933415830E-02     9.239764740E-02    -8.168390055E-03
      204     4.935117595E-02     8.703125229E-03    -8.064319075E-03
      205    -6.899200551E-03     6.138215345E-02    -4.952683379E-02
      206    -4.328561395E-02     6.492134016E-02    -2.502922903E-02
      207    -2.348581843E-02     1.340348778E-02    -4.414378258E-02
      208     2.362473024E-02     8.148317772E-02    -4.406938671E-02
      209    -3.413258238E-02     1.541906322E-02    -3.652454040E-02
      210    -2.818457977E-02     1.849999992E-02    -4.129455067E-02
      211     4.936641520E-02     9.290693741E-02    -7.969929008E-03
      212     2.204588004E-03     7.033136954E-02    -4.995214940E-02
      213    -4.730201585E-02     4.698890545E-02    -1.623103198E-02
      214     2.553971413E-02     7.242623428E-02    -4.298485719E-02
      215     2.808514871E-02     3.698881568E-02    -4.136239843E-02
      216    -2.600898969E-04     7.600120899E-02    -4.999933605E-02
      217    -3.341172693E-02     7.271799401E-03    -3.718547354E-02
      218     1.060717626E-02     2.603125028E-02    -4.887031723E-02
      219    -4.945551684E-02     2.296744845E-02    -7.393103971E-03
      220     3.397209900E-02     7.531737212E-03    -3.667392440E-02
      221     1.142313582E-03     5.847591222E-02    -4.998717543E-02
      222    -4.799011146E-02     2.014516022E-02    -1.406726948E-02
      223    -4.333167530E-02     1.575730342E-02    -2.494962227E-02
      224    -4.961062171E-02     7.741301148E-02    -6.259252652E-03
      225    -3.893182564E-03     6.884375010E-02    -4.985031146E-02
      226     3.477783072E-02     1.565181858E-02    -3.591050835E-02
      227     4.951372057E-02     5.979969852E-02    -6.989797262E-03
      228    -2.569038165E-02     2.449999992E-02    -4.289473269E-02
      229    -2.887484937E-02     3.056072031E-02    -4.081377936E-02
      230    -1.947638941E-02     2.715696549E-02    -4.605846069E-02
      231     1.435643515E-04     1.944763483E-02    -4.999979774E-02
      232    -4.419737569E-02     3.081367427E-02    -2.338632355E-02
      233    -3.857612898E-02     8.343176643E-02    -3.179819578E-02
      234     4.727185290E-02     4.660765692E-02    -1.631860069E-02
      235    -4.635696962E-02     8.268761260E-02    -1.875731253E-02
      236     4.254034748E-02     6.955497288E-02    -2.627262459E-02
      237     4.637570515E-02     8.425317020E-02    -1.871102901E-02
      238    -3.160485353E-02     4.998122978E-02    -3.873446831E-02
      239    -4.780052829E-02     9.377229559E-02    -1.469877021E-02
      240     3.762081159E-02     3.631519300E-02    -3.292153755E-02
